Product,Age,RTO State/UT,RTO City/Location,Alto,Alto K10,A-Star,BALENO D,BALENO P,Celerio D,Celerio P,CIAZ D,CIAZ P,Dzire D,Dzire P,Eeco/Versa D,Eeco/Versa P,Ertiga D,Ertiga P,Esteem D,Esteem P,Grand Vitara,Gypsy,IGNIS D,IGNIS P,Kizashi,Old Baleno,Omni,RITZ D,RITZ P,S-CROSS D,S-CROSS P,S-PRESSO,SUPER CARRY D,SUPER CARRY P,SWIFT D,SWIFT P,SX4 D,SX4 P,VITARA BREZZA D,VITARA BREZZA P,Wagon R,XL6,Zen,Zen D,,Model,Check,Check,RTO State/UT,RTO City/Location
PVT,0,MAHARASHTRA,AURANGABAD,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,,,TRUE,MAHARASHTRA,AURANGABAD
PVT,0,,KOLHAPUR,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,,,TRUE,,KOLHAPUR
PVT,0,,MUMBAI,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,,,TRUE,,MUMBAI
PVT,0,,NAGPUR,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,,,TRUE,,NAGPUR
PVT,0,,NASHIK,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,,,TRUE,,NASHIK
PVT,0,,PANVEL,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,,,TRUE,,PANVEL
PVT,0,,PUNE,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,,,TRUE,,PUNE
PVT,0,,SANGLI,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,,,TRUE,,SANGLI
PVT,0,,THANE,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,,,TRUE,,THANE
PVT,0,,Rest of MAHARASHTRA,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,,,TRUE,,Rest of MAHARASHTRA
PVT,0,MANIPUR,IMPHAL,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,,,TRUE,MANIPUR,IMPHAL
PVT,0,,Rest of MANIPUR,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,,,TRUE,,Rest of MANIPUR
PVT,0,MEGHALAYA,SHILLONG,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,,,TRUE,MEGHALAYA,SHILLONG
PVT,0,,Rest of MEGHALAYA,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,,,TRUE,,Rest of MEGHALAYA
PVT,0,MIZORAM,MIZORAM,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,,,TRUE,MIZORAM,MIZORAM
PVT,0,NAGALAND,NAGALAND,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,,,TRUE,NAGALAND,NAGALAND
PVT,0,ORISSA,BHUBANESWAR,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,,,TRUE,ORISSA,BHUBANESWAR
PVT,0,,Rest of ORISSA,70,70,60,50,70,40,70,52,70,45,70,40,70,45,70,30,30,70,30,50,70,50,30,70,45,60,50,70,70,40,70,50,70,50,60,70,70,70,70,30,30,,,,TRUE,,Rest of ORISSA
